"","sub_region_1","sub_region_2"
"1",NA,NA
"2","Federal District",NA
"3","State of Acre",NA
"4","State of Acre","Brasiléia"
"5","State of Acre","Cruzeiro do Sul"
"6","State of Acre","Epitaciolândia"
"7","State of Acre","Feijó"
"8","State of Acre","Rio Branco"
"9","State of Acre","Sena Madureira"
"10","State of Acre","Senador Guiomard"
"11","State of Acre","Tarauacá"
"12","State of Alagoas",NA
"13","State of Alagoas","Arapiraca"
"14","State of Alagoas","Atalaia"
"15","State of Alagoas","Barra de Santo Antônio"
"16","State of Alagoas","Barra de São Miguel"
"17","State of Alagoas","Boca da Mata"
"18","State of Alagoas","Campo Alegre"
"19","State of Alagoas","Chã Preta"
"20","State of Alagoas","Coruripe"
"21","State of Alagoas","Craíbas"
"22","State of Alagoas","Delmiro Gouveia"
"23","State of Alagoas","Girau do Ponciano"
"24","State of Alagoas","Junqueiro"
"25","State of Alagoas","Limoeiro de Anadia"
"26","State of Alagoas","Maceió"
"27","State of Alagoas","Maragogi"
"28","State of Alagoas","Marechal Deodoro"
"29","State of Alagoas","Matriz de Camaragibe"
"30","State of Alagoas","Messias"
"31","State of Alagoas","Murici"
"32","State of Alagoas","Olho d'Água das Flores"
"33","State of Alagoas","Palmeira dos Índios"
"34","State of Alagoas","Pão de Açúcar"
"35","State of Alagoas","Paripueira"
"36","State of Alagoas","Penedo"
"37","State of Alagoas","Pilar"
"38","State of Alagoas","Piranhas"
"39","State of Alagoas","Porto Calvo"
"40","State of Alagoas","Rio Largo"
"41","State of Alagoas","Santana do Ipanema"
"42","State of Alagoas","São José da Laje"
"43","State of Alagoas","São José da Tapera"
"44","State of Alagoas","São Luís do Quitunde"
"45","State of Alagoas","São Miguel dos Campos"
"46","State of Alagoas","São Sebastião"
"47","State of Alagoas","Satuba"
"48","State of Alagoas","Teotônio Vilela"
"49","State of Alagoas","União dos Palmares"
"50","State of Alagoas","Viçosa"
"51","State of Amapá",NA
"52","State of Amapá","Laranjal do Jari"
"53","State of Amapá","Macapá"
"54","State of Amapá","Oiapoque"
"55","State of Amapá","Santana"
"56","State of Amazonas",NA
"57","State of Amazonas","Boca do Acre"
"58","State of Amazonas","Coari"
"59","State of Amazonas","Humaitá"
"60","State of Amazonas","Iranduba"
"61","State of Amazonas","Itacoatiara"
"62","State of Amazonas","Manacapuru"
"63","State of Amazonas","Manaus"
"64","State of Amazonas","Manicoré"
"65","State of Amazonas","Maués"
"66","State of Amazonas","Parintins"
"67","State of Amazonas","Presidente Figueiredo"
"68","State of Amazonas","Rio Preto da Eva"
"69","State of Amazonas","São Gabriel da Cachoeira"
"70","State of Amazonas","Tabatinga"
"71","State of Amazonas","Tefé"
"72","State of Bahia",NA
"73","State of Bahia","Alagoinhas"
"74","State of Bahia","Alcobaça"
"75","State of Bahia","Amargosa"
"76","State of Bahia","Amélia Rodrigues"
"77","State of Bahia","Aracatu"
"78","State of Bahia","Araci"
"79","State of Bahia","Barra"
"80","State of Bahia","Barra da Estiva"
"81","State of Bahia","Barra do Choça"
"82","State of Bahia","Barreiras"
"83","State of Bahia","Belmonte"
"84","State of Bahia","Belo Campo"
"85","State of Bahia","Bom Jesus da Lapa"
"86","State of Bahia","Brumado"
"87","State of Bahia","Cachoeira"
"88","State of Bahia","Caculé"
"89","State of Bahia","Caetité"
"90","State of Bahia","Cairu"
"91","State of Bahia","Camacan"
"92","State of Bahia","Camaçari"
"93","State of Bahia","Camamu"
"94","State of Bahia","Campo Formoso"
"95","State of Bahia","Canavieiras"
"96","State of Bahia","Candeias"
"97","State of Bahia","Cândido Sales"
"98","State of Bahia","Cansanção"
"99","State of Bahia","Capim Grosso"
"100","State of Bahia","Caravelas"
"101","State of Bahia","Carinhanha"
"102","State of Bahia","Casa Nova"
"103","State of Bahia","Castro Alves"
"104","State of Bahia","Catu"
"105","State of Bahia","Cícero Dantas"
"106","State of Bahia","Cipó"
"107","State of Bahia","Coaraci"
"108","State of Bahia","Conceição da Feira"
"109","State of Bahia","Conceição do Coité"
"110","State of Bahia","Conceição do Jacuípe"
"111","State of Bahia","Conde"
"112","State of Bahia","Condeúba"
"113","State of Bahia","Coração de Maria"
